2023-03-14,10.15,10.15,10.15,10.15,100
2023-03-15,10.15,10.16,10.18,10.15,217017
2023-03-16,10.16,10.15,10.18,10.15,438913
2023-03-17,10.15,10.15,10.17,10.15,293130
2023-03-20,10.165,10.1668,10.17,10.16,8346
2023-03-21,10.16,10.15,10.17,10.15,447275
2023-03-22,10.15,10.1501,10.1599,10.15,156007
2023-03-23,10.15,10.16,10.16,10.15,153854
2023-03-24,10.155,10.16,10.16,10.155,7000
2023-03-27,10.17,10.15,10.2,10.15,429999
2023-03-28,10.15,10.15,10.15,10.15,500509
2023-03-29,10.15,10.15,10.15,10.15,108202
2023-03-30,10.15,10.16,10.16,10.15,210000
2023-03-31,10.16,10.15,10.16,10.15,453
2023-04-03,10.1593,10.16,10.16,10.1593,345
2023-04-04,10.16,10.16,10.165,10.16,23627
2023-04-05,10.17,10.17,10.175,10.16,582819
2023-04-06,10.18,10.15,10.18,10.15,52552
2023-04-10,10.25,10.2151,10.635,10.17,8903
2023-04-11,10.32,10.22,10.436,10.18,18048
2023-04-12,10.29,10.2,10.475,10.18,13614
2023-04-13,10.22,10.18,10.22,10.18,2207
2023-04-17,10.19,10.19,10.19,10.19,200
2023-04-18,10.19,10.2,10.2001,10.19,8516
2023-04-19,10.19,10.19,10.19,10.19,160223
2023-04-21,10.19,10.19,10.19,10.19,1000
2023-04-27,10.19,10.19,10.19,10.19,608
2023-05-01,10.2,10.2,10.2,10.2,3365
2023-05-02,10.2,10.2,10.2,10.2,7650
2023-05-03,10.2,10.21,10.21,10.2,234710
2023-05-08,10.215,10.2201,10.25,10.215,22054
2023-05-09,10.53,10.27,11.0,10.22,37990
2023-05-10,10.32,10.31,10.32,10.31,800
2023-05-11,10.5,10.34,10.5,10.34,7157
2023-05-12,10.41,10.37,10.41,10.37,10330
2023-05-15,10.3,10.28,10.32,10.28,27603
2023-05-16,10.26,10.26,10.3,10.26,3982
2023-05-17,10.3,10.2908,10.3,10.2908,273
2023-05-19,10.29,10.26,10.29,10.26,822
2023-05-22,10.26,10.27,10.27,10.26,1686
2023-05-23,10.26,10.27,10.27,10.2,52655
2023-05-24,10.27,10.2773,10.2773,10.27,33817
2023-05-25,10.27,10.27,10.2776,10.27,2385
2023-05-26,10.2601,10.27,10.27,10.2601,1901
2023-05-30,10.261,10.28,10.2988,10.261,705
2023-05-31,10.27,10.27,10.28,10.27,96629
2023-06-02,10.35,10.2706,10.35,10.27,1251
2023-06-05,10.375,10.26,10.375,10.25,3690
2023-06-06,10.375,10.4658,10.4658,10.375,301
2023-06-07,10.47,10.47,10.47,10.47,150
2023-06-08,10.36,10.36,10.36,10.36,100
2023-06-09,10.4,10.4,10.4,10.4,100
2023-06-12,10.4107,10.4,10.47,10.4,1587
2023-06-14,10.41,10.4001,10.41,10.4,1751
2023-06-21,10.4049,10.4001,10.405,10.4,4450
2023-06-22,10.4,10.4,10.4,10.4,3951
2023-06-27,10.35,10.35,10.35,10.35,1950
2023-06-30,10.4,10.4,10.4,10.4,104
2023-07-03,10.389,10.3805,10.39,10.3805,1251
2023-07-05,10.39,10.3805,10.39,10.38,712
2023-07-06,10.3899,10.3899,10.3899,10.3899,100
2023-07-12,10.3702,10.37,10.3702,10.37,22353
2023-07-13,10.37,10.37,10.3705,10.37,1012
2023-07-17,10.37,10.36,10.37,10.36,1564
2023-07-18,10.3773,10.3773,10.3773,10.3773,388
2023-07-20,10.37,10.37,10.37,10.37,213
2023-07-21,10.38,10.38,10.38,10.38,447
2023-07-25,10.38,10.37,10.38,10.37,410564
2023-07-26,10.385,10.385,10.385,10.385,111
2023-08-02,10.395,10.395,10.395,10.395,12740
2023-08-03,10.4,10.4,10.425,10.395,38840
2023-08-08,10.41,10.41,10.41,10.41,160
2023-08-10,10.415,10.42,10.42,10.415,1300
2023-08-11,10.41,10.41,10.41,10.41,832
2023-08-14,10.41,10.41,10.41,10.41,20000
2023-08-18,10.42,10.43,10.43,10.42,2251
2023-08-21,10.43,10.42,10.43,10.42,4900
2023-08-22,10.43,10.44,10.44,10.43,13070
2023-08-23,10.44,10.44,10.44,10.44,206
2023-08-25,10.45,10.45,10.45,10.445,2055
2023-08-28,10.45,10.45,10.45,10.45,2204
2023-08-29,10.45,10.45,10.45,10.45,2222
2023-08-30,10.45,10.45,10.45,10.45,15001
2023-09-05,10.5,10.465,10.58,10.46,7925
2023-09-07,10.48,10.47,10.48,10.46,166103
2023-09-11,10.47,10.47,10.47,10.47,665
2023-09-12,10.47,10.46,10.49,10.46,869
2023-09-14,10.47,10.47,10.495,10.47,1427
2023-09-15,10.48,10.48,10.48,10.48,21731
2023-09-18,10.51,10.48,10.51,10.48,41169
2023-09-19,10.48,10.48,10.48,10.48,3944
2023-09-22,10.485,10.49,10.49,10.48,3666
2023-09-26,10.55,10.49,10.55,10.49,35702
2023-10-02,10.51,10.52,10.52,10.51,423
2023-10-05,10.515,10.515,10.52,10.515,6706
2023-10-11,10.54,10.5401,10.5401,10.54,1008
2023-10-12,10.6,10.6,10.6,10.6,5614
2023-10-13,10.5404,10.58,10.58,10.5404,635
2023-10-17,10.5616,10.53,10.5616,10.53,1170
2023-10-18,10.53,10.53,10.53,10.53,30900
2023-10-26,10.595,10.54,10.595,10.54,351
2023-10-31,10.54,10.54,10.54,10.54,100
2023-11-01,10.545,10.545,10.545,10.545,96300
2023-11-02,10.55,10.55,10.55,10.55,217
2023-11-03,10.56,10.56,10.56,10.56,200
2023-11-07,10.56,10.56,10.56,10.56,2838
2023-11-08,10.57,10.57,10.57,10.57,2999
2023-11-09,10.57,10.57,10.57,10.57,150200
2023-11-10,10.57,10.57,10.57,10.57,3150
2023-11-13,10.58,10.58,10.58,10.575,9726
2023-11-16,10.58,10.58,10.5832,10.58,111029
2023-11-17,10.58,10.575,10.58,10.575,100051
2023-11-21,10.65,10.58,10.65,10.58,9062
2023-11-22,10.58,10.58,10.58,10.58,583
2023-11-27,10.57,10.58,10.59,10.57,10247
2023-11-28,10.58,10.58,10.58,10.58,10003
2023-11-29,10.58,10.58,10.58,10.58,6484
2023-11-30,10.58,10.58,10.58,10.58,4615
